[2025-03-16 14:55:04 root] (main_calib_config3_cbq.py 280): INFO Namespace(model='/workspace/volume/inference-soft-data/AE/llm/models/Llama-2-13b-hf', cache_dir='./cache', output_dir='./log-divide-adaptive-calibration-cbq/Llama-2-13b-hf-0.4', save_dir=None, resume=None, real_quant=False, calib_dataset='wikitext2', nsamples=128, batch_size=1, seed=2, tasks='piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande', eval_ppl=True, num_fewshot=0, wbits=4, abits=4, group_size=None, alpha=0.5, let_lr=0.005, lwc_lr=0.01, wd=0, epochs=20, let=True, lwc=True, symmetric=False, disable_zero_point=False, a_dynamic_method='per_token', w_dynamic_method='per_channel', limit=-1, multigpu=False, deactive_amp=True, attn_implementation='eager', net=None, act_scales=None, act_shifts=None, quant_map='log-divide-adaptive/Llama-2-13b-hf/quant_map_Llama-2-13b-hf_0.4.pkl', scale_calibration=True, compensation_calibration=True)
[2025-03-16 14:55:05 root] (main_calib_config3_cbq.py 347): INFO === start quantization ===
[2025-03-16 14:55:05 root] (main_calib_config3_cbq.py 353): INFO load calibration from ./cache/dataloader_Llama_wikitext2_128.cache
[2025-03-16 14:55:06 root] (abq_llm_calib_config3_cbq.py 82): INFO Starting ...
[2025-03-16 14:55:06 root] (abq_llm_calib_config3_cbq.py 89): INFO Loaded quant_map from log-divide-adaptive/Llama-2-13b-hf/quant_map_Llama-2-13b-hf_0.4.pkl
[2025-03-16 14:55:35 root] (abq_llm_calib_config3_cbq.py 294): INFO === Start quantize layers 0 to 1 ===
[2025-03-16 14:57:07 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 0 loss:0.16767163574695587 norm:0.2048952579498291 max memory_allocated 49623.62158203125 
[2025-03-16 14:58:31 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 1 loss:0.1168024018406868 norm:0.13893894851207733 max memory_allocated 49623.62158203125 
[2025-03-16 14:59:56 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 2 loss:0.09336104989051819 norm:0.10314521193504333 max memory_allocated 49623.62158203125 
[2025-03-16 15:01:20 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 3 loss:0.08323004096746445 norm:0.07970570027828217 max memory_allocated 49623.62158203125 
[2025-03-16 15:02:45 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 4 loss:0.07731366902589798 norm:0.06465386599302292 max memory_allocated 49623.62158203125 
[2025-03-16 15:04:09 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 5 loss:0.07374438643455505 norm:0.057384785264730453 max memory_allocated 49623.62158203125 
[2025-03-16 15:05:34 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 6 loss:0.07055308669805527 norm:0.04903442785143852 max memory_allocated 49623.62158203125 
[2025-03-16 15:06:58 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 7 loss:0.06821359694004059 norm:0.04312025383114815 max memory_allocated 49623.62158203125 
[2025-03-16 15:08:23 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 8 loss:0.06664428859949112 norm:0.04033820703625679 max memory_allocated 49623.62158203125 
[2025-03-16 15:09:47 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 9 loss:0.06553591042757034 norm:0.035157568752765656 max memory_allocated 49623.62158203125 
[2025-03-16 15:11:12 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 10 loss:0.06483566761016846 norm:0.03418877720832825 max memory_allocated 49623.62158203125 
[2025-03-16 15:12:36 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 11 loss:0.06371130794286728 norm:0.031080767512321472 max memory_allocated 49623.62158203125 
[2025-03-16 15:14:01 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 12 loss:0.06310314685106277 norm:0.029436932876706123 max memory_allocated 49623.62158203125 
[2025-03-16 15:15:26 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 13 loss:0.06288982927799225 norm:0.028569189831614494 max memory_allocated 49623.62158203125 
[2025-03-16 15:16:50 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 14 loss:0.0629221647977829 norm:0.025976845994591713 max memory_allocated 49623.62158203125 
[2025-03-16 15:18:15 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 15 loss:0.0625452846288681 norm:0.023758549243211746 max memory_allocated 49623.62158203125 
[2025-03-16 15:19:39 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 16 loss:0.0618889257311821 norm:0.023088814690709114 max memory_allocated 49623.62158203125 
[2025-03-16 15:21:04 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 17 loss:0.061929523944854736 norm:0.02266743592917919 max memory_allocated 49623.62158203125 
[2025-03-16 15:22:28 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 18 loss:0.062179286032915115 norm:0.022308966144919395 max memory_allocated 49623.62158203125 
[2025-03-16 15:23:53 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 0-1 epoch 19 loss:0.061867039650678635 norm:0.02353403903543949 max memory_allocated 49623.62158203125 
[2025-03-16 15:24:39 root] (abq_llm_calib_config3_cbq.py 294): INFO === Start quantize layers 1 to 2 ===
[2025-03-16 15:26:11 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 0 loss:0.06427298486232758 norm:0.1679466962814331 max memory_allocated 49664.45751953125 
[2025-03-16 15:27:36 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 1 loss:0.041597604751586914 norm:0.02289707399904728 max memory_allocated 49664.45751953125 
[2025-03-16 15:29:01 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 2 loss:0.03465692326426506 norm:0.015516004525125027 max memory_allocated 49664.45751953125 
[2025-03-16 15:30:26 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 3 loss:0.031325820833444595 norm:0.010695267468690872 max memory_allocated 49664.45751953125 
[2025-03-16 15:31:50 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 4 loss:0.02978573739528656 norm:0.008899852633476257 max memory_allocated 49664.45751953125 
[2025-03-16 15:33:15 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 5 loss:0.028510980308055878 norm:0.007219905965030193 max memory_allocated 49664.45751953125 
[2025-03-16 15:34:40 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 6 loss:0.027628598734736443 norm:0.0060263569466769695 max memory_allocated 49664.45751953125 
[2025-03-16 15:36:05 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 7 loss:0.026982739567756653 norm:0.005362596362829208 max memory_allocated 49664.45751953125 
[2025-03-16 15:37:30 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 8 loss:0.0264615248888731 norm:0.00472172861918807 max memory_allocated 49664.45751953125 
[2025-03-16 15:38:54 root] (abq_llm_calib_config3_cbq.py 447): INFO layers 1-2 epoch 9 loss:0.026105131953954697 norm:0.0043835025280714035 max memory_allocated 49664.45751953125 
